DesignName,ParticipantID,TrialID,Block1,Block2,DT,OC,visualSearchTime,ErrorCount
Touchstone2,5,0,1,1,ContrastLighting,high,62373,0
Touchstone2,5,1,1,2,ContrastLighting,medium,10021,0
Touchstone2,5,2,3,1,Contrast,high,5945,0
Touchstone2,5,3,3,1,Contrast,high,6160,0
Touchstone2,5,4,3,1,Contrast,high,7678,0
Touchstone2,5,5,2,3,lighting,low,7101,0
Touchstone2,5,6,3,2,Contrast,medium,3367,0
Touchstone2,5,7,2,2,lighting,medium,9040,0
Touchstone2,5,8,1,2,ContrastLighting,medium,8402,0
Touchstone2,5,9,2,3,lighting,low,4486,0
Touchstone2,5,10,2,1,lighting,high,9205,0
Touchstone2,5,11,3,3,Contrast,low,4956,0
Touchstone2,5,12,3,2,Contrast,medium,3344,0
Touchstone2,5,13,1,3,ContrastLighting,low,17520,0
Touchstone2,5,14,2,2,lighting,medium,12153,0
Touchstone2,5,15,2,1,lighting,high,4960,0
Touchstone2,5,16,1,2,ContrastLighting,medium,20037,0
Touchstone2,5,17,2,2,lighting,medium,5253,0
Touchstone2,5,18,3,1,Contrast,high,3128,0
Touchstone2,5,19,3,3,Contrast,low,3334,0
Touchstone2,5,20,1,1,ContrastLighting,high,10991,0
Touchstone2,5,21,3,3,Contrast,low,3090,0
Touchstone2,5,22,1,3,ContrastLighting,low,4167,0
Touchstone2,5,23,3,2,Contrast,medium,6277,0
Touchstone2,5,24,2,2,lighting,medium,5398,0
Touchstone2,5,25,1,3,ContrastLighting,low,8575,0
Touchstone2,5,26,1,1,ContrastLighting,high,16818,0
Touchstone2,5,27,2,3,lighting,low,4491,0
Touchstone2,5,28,1,2,ContrastLighting,medium,5656,0
Touchstone2,5,29,2,3,lighting,low,3087,0
Touchstone2,5,30,1,2,ContrastLighting,medium,3786,0
Touchstone2,5,31,2,1,lighting,high,13314,0
Touchstone2,5,32,1,1,ContrastLighting,high,8080,0
Touchstone2,5,33,2,1,lighting,high,5989,0
Touchstone2,5,34,3,3,Contrast,low,3165,0
Touchstone2,5,35,1,3,ContrastLighting,low,4995,0
Touchstone2,5,36,1,2,ContrastLighting,medium,5707,0
Touchstone2,5,37,1,3,ContrastLighting,low,4570,0
Touchstone2,5,38,2,3,lighting,low,2946,0
Touchstone2,5,39,3,1,Contrast,high,2919,0
Touchstone2,5,40,1,1,ContrastLighting,high,5130,0
Touchstone2,5,41,3,2,Contrast,medium,2544,0
Touchstone2,5,42,2,2,lighting,medium,4620,0
Touchstone2,5,43,3,3,Contrast,low,3740,0
Touchstone2,5,44,3,2,Contrast,medium,2843,0
Touchstone2,5,45,1,3,ContrastLighting,low,4784,0
Touchstone2,5,46,1,1,ContrastLighting,high,4015,0
Touchstone2,5,47,3,3,Contrast,low,2719,0
Touchstone2,5,48,3,1,Contrast,high,3034,0
Touchstone2,5,49,2,1,lighting,high,3648,0
Touchstone2,5,50,2,2,lighting,medium,3726,0
Touchstone2,5,51,2,3,lighting,low,3329,0
Touchstone2,5,52,2,1,lighting,high,2632,0
Touchstone2,5,53,3,2,Contrast,medium,2359,0
