DesignName,ParticipantID,TrialID,Block1,Block2,DT,OC,visualSearchTime,ErrorCount
Touchstone2,1,0,1,1,lighting,medium,7795,0
Touchstone2,1,1,3,2,ContrastLighting,low,4322,0
Touchstone2,1,2,1,1,lighting,medium,2781,0
Touchstone2,1,3,2,1,Contrast,medium,1895,0
Touchstone2,1,4,3,1,ContrastLighting,medium,4122,0
Touchstone2,1,5,2,3,Contrast,high,3054,0
Touchstone2,1,6,2,1,Contrast,medium,2039,0
Touchstone2,1,7,3,3,ContrastLighting,high,2307,0
Touchstone2,1,8,2,1,Contrast,medium,1859,0
Touchstone2,1,9,2,3,Contrast,high,2611,0
Touchstone2,1,10,2,1,Contrast,medium,2340,0
Touchstone2,1,11,1,1,lighting,medium,2152,0
Touchstone2,1,12,2,2,Contrast,low,2237,0
Touchstone2,1,13,1,3,lighting,high,6862,0
Touchstone2,1,14,3,3,ContrastLighting,high,5102,1
Touchstone2,1,15,1,2,lighting,low,2228,0
Touchstone2,1,16,3,3,ContrastLighting,high,2574,0
Touchstone2,1,17,3,3,ContrastLighting,high,5047,0
Touchstone2,1,18,1,3,lighting,high,3204,0
Touchstone2,1,19,2,1,Contrast,medium,2130,0
Touchstone2,1,20,3,1,ContrastLighting,medium,3606,0
Touchstone2,1,21,1,3,lighting,high,2735,0
Touchstone2,1,22,3,2,ContrastLighting,low,3235,0
Touchstone2,1,23,2,3,Contrast,high,4349,0
Touchstone2,1,24,2,3,Contrast,high,2358,0
Touchstone2,1,25,3,1,ContrastLighting,medium,2966,0
Touchstone2,1,26,2,3,Contrast,high,2462,0
Touchstone2,1,27,3,3,ContrastLighting,high,4416,0
Touchstone2,1,28,1,1,lighting,medium,1851,0
Touchstone2,1,29,3,2,ContrastLighting,low,4460,0
Touchstone2,1,30,3,2,ContrastLighting,low,2160,0
Touchstone2,1,31,2,2,Contrast,low,2162,0
Touchstone2,1,32,2,2,Contrast,low,1817,0
Touchstone2,1,33,1,2,lighting,low,2632,0
Touchstone2,1,34,3,1,ContrastLighting,medium,2725,0
Touchstone2,1,35,3,2,ContrastLighting,low,2727,0
Touchstone2,1,36,2,3,Contrast,high,3148,0
Touchstone2,1,37,1,1,lighting,medium,1870,0
Touchstone2,1,38,2,2,Contrast,low,2017,0
